dataset,seed,depth,setting,constraint,method,n_subgroups,valid_gap,cost_l1_gap,regret_gap,route_accuracy_gap
adult,7,4,covariate_shift,r1_all_mutable,fixed_blend,2,0.07051282051282048,1.0497663807636357,1.115847819706214,0.019230769230769218
adult,7,4,covariate_shift,r1_all_mutable,fixed_blend_no_repair,2,0.07051282051282048,1.0497663807636357,1.115847819706214,0.019230769230769218
adult,7,4,covariate_shift,r1_all_mutable,knn_mean_k5,2,0.0,1.1525004603890805,69.27620154927452,
adult,7,4,covariate_shift,r1_all_mutable,learned_alpha,2,0.05128205128205121,0.22474179837418706,18.959847321448592,0.03205128205128205
adult,7,4,covariate_shift,r1_all_mutable,learned_router,2,0.14743589743589736,0.2055126456904377,77.14237509793163,0.05128205128205132
adult,7,4,covariate_shift,r1_all_mutable,learned_router_no_geometry,2,0.14743589743589736,0.2055126456904377,77.14237509793163,0.05128205128205132
adult,7,4,covariate_shift,r1_all_mutable,learned_router_no_shift,2,0.14743589743589736,0.2055126456904377,77.14237509793163,0.05128205128205132
adult,7,4,covariate_shift,r1_all_mutable,nn_positive_train,2,0.0,1.4111743111273949,69.03910229589347,
adult,7,4,covariate_shift,r1_all_mutable,projection_only,2,0.08333333333333333,0.034457410327641824,12.74001019661091,0.012820512820512803
adult,7,4,covariate_shift,r1_all_mutable,rule_router,2,0.08333333333333333,0.034457410327641824,12.74001019661091,0.012820512820512803
adult,7,4,covariate_shift,r1_all_mutable,safe_router,2,0.4230769230769231,0.049295802807679756,70.22457275267192,0.05128205128205132
adult,7,4,covariate_shift,r1_all_mutable,utility_router,2,0.07051282051282048,1.0497663807636357,1.115847819706214,0.019230769230769218
adult,7,4,covariate_shift,r1_all_mutable,utility_router_no_geometry,2,0.07051282051282048,1.0497663807636357,1.115847819706214,0.019230769230769218
adult,7,4,covariate_shift,r1_all_mutable,utility_router_no_shift,2,0.07051282051282048,1.0497663807636357,1.115847819706214,0.019230769230769218
adult,7,4,covariate_shift,r2_realistic,fixed_blend,2,0.08333333333333337,0.027483720056440397,0.40868602114768837,0.08974358974358973
adult,7,4,covariate_shift,r2_realistic,fixed_blend_no_repair,2,0.08333333333333337,0.027483720056440397,0.40868602114768837,0.08974358974358973
adult,7,4,covariate_shift,r2_realistic,knn_mean_k5,2,0.0,0.034089592881274555,83.73635488694363,
adult,7,4,covariate_shift,r2_realistic,learned_alpha,2,0.17948717948717952,0.37429468759502327,95.4257893015976,0.2628205128205128
adult,7,4,covariate_shift,r2_realistic,learned_router,2,0.0064102564102564985,0.9509952500766108,76.29001074230196,0.05128205128205132
adult,7,4,covariate_shift,r2_realistic,learned_router_no_geometry,2,0.08333333333333337,0.6132222830671177,1.0299985072807618,0.17307692307692307
adult,7,4,covariate_shift,r2_realistic,learned_router_no_shift,2,0.0064102564102564985,0.9509952500766108,76.29001074230196,0.05128205128205132
adult,7,4,covariate_shift,r2_realistic,nn_positive_train,2,0.0,0.023804377536195354,83.69268765455033,
adult,7,4,covariate_shift,r2_realistic,projection_only,2,0.14102564102564105,0.4505787820651138,56.899267210687526,0.05769230769230771
adult,7,4,covariate_shift,r2_realistic,rule_router,2,0.14102564102564105,0.4505787820651138,56.899267210687526,0.05769230769230771
adult,7,4,covariate_shift,r2_realistic,safe_router,2,0.21794871794871798,0.615499414919481,83.26078364346114,0.03205128205128205
adult,7,4,covariate_shift,r2_realistic,utility_router,2,0.08333333333333337,0.4797270628294079,0.12658729255627144,0.012820512820512803
adult,7,4,covariate_shift,r2_realistic,utility_router_no_geometry,2,0.08333333333333337,0.027483720056440397,0.40868602114768837,0.08974358974358973
adult,7,4,covariate_shift,r2_realistic,utility_router_no_shift,2,0.08333333333333337,0.9428772774619105,0.6226453984864024,0.05769230769230771
adult,7,4,exemplar_mismatch,r1_all_mutable,fixed_blend,2,0.15546218487394958,0.5965284866142566,1.4487457798937085,0.29411764705882354
